Elon Musk,isPartial
3,False
2,False
4,False
2,False
2,False
2,False
2,False
3,False
3,False
3,False
3,False
3,False
4,False
3,False
3,False
2,False
3,False
2,False
2,False
4,False
4,False
3,False
3,False
3,False
3,False
5,False
6,False
4,False
5,False
4,False
3,False
6,False
5,False
4,False
3,False
3,False
3,False
8,False
31,False
14,False
7,False
5,False
4,False
7,False
6,False
6,False
6,False
4,False
3,False
3,False
4,False
12,False
5,False
5,False
4,False
3,False
4,False
3,False
3,False
6,False
15,False
12,False
5,False
3,False
6,False
8,False
7,False
4,False
16,False
14,False
8,False
8,False
12,False
5,False
8,False
9,False
5,False
5,False
4,False
3,False
5,False
4,False
6,False
6,False
4,False
4,False
4,False
3,False
3,False
4,False
4,False
3,False
5,False
7,False
6,False
4,False
4,False
3,False
6,False
3,False
4,False
6,False
4,False
4,False
4,False
4,False
3,False
3,False
3,False
3,False
3,False
2,False
3,False
5,False
4,False
3,False
3,False
3,False
3,False
3,False
3,False
3,False
3,False
3,False
4,False
3,False
6,False
3,False
5,False
3,False
4,False
8,False
12,False
7,False
6,False
4,False
5,False
5,False
9,False
5,False
5,False
5,False
7,False
5,False
5,False
5,False
4,False
5,False
4,False
5,False
5,False
4,False
4,False
10,False
14,False
72,False
29,False
13,False
34,False
24,False
10,False
10,False
8,False
9,False
11,False
10,False
10,False
11,False
9,False
6,False
7,False
9,False
11,False
8,False
6,False
7,False
6,False
5,False
5,False
5,False
4,False
5,False
8,False
10,False
11,False
7,False
11,False
8,False
8,False
8,False
37,False
28,False
15,False
22,False
22,False
23,False
16,False
16,False
15,False
12,False
10,False
9,False
9,False
9,False
14,False
14,False
13,False
29,False
50,False
24,False
13,False
13,False
12,False
9,False
8,False
9,False
8,False
9,False
11,False
8,False
8,False
9,False
8,False
8,False
6,False
6,False
8,False
12,False
10,False
11,False
9,False
10,False
16,False
20,False
17,False
15,False
11,False
10,False
12,False
16,False
14,False
13,False
12,False
10,False
10,False
11,False
11,False
10,False
11,False
9,False
17,False
17,False
18,False
10,False
9,False
20,False
36,False
27,False
100,False
35,True
