Twitter,isPartial
58,False
56,False
55,False
58,False
59,False
56,False
60,False
62,False
57,False
59,False
59,False
60,False
57,False
61,False
58,False
58,False
55,False
55,False
57,False
57,False
56,False
56,False
56,False
54,False
56,False
57,False
54,False
54,False
55,False
54,False
57,False
56,False
52,False
58,False
59,False
59,False
58,False
60,False
57,False
55,False
56,False
61,False
58,False
57,False
58,False
57,False
60,False
58,False
56,False
60,False
57,False
55,False
54,False
56,False
60,False
55,False
57,False
59,False
59,False
55,False
56,False
55,False
58,False
56,False
56,False
53,False
58,False
58,False
59,False
56,False
55,False
57,False
55,False
55,False
55,False
56,False
58,False
53,False
56,False
53,False
55,False
58,False
57,False
56,False
56,False
57,False
58,False
59,False
58,False
57,False
57,False
58,False
57,False
60,False
57,False
58,False
57,False
55,False
59,False
56,False
57,False
58,False
57,False
54,False
58,False
63,False
59,False
59,False
62,False
61,False
61,False
62,False
61,False
60,False
62,False
61,False
64,False
60,False
61,False
61,False
63,False
60,False
60,False
63,False
61,False
63,False
68,False
63,False
63,False
62,False
66,False
65,False
60,False
63,False
65,False
67,False
63,False
67,False
70,False
65,False
67,False
72,False
69,False
70,False
66,False
72,False
68,False
75,False
83,False
80,False
79,False
78,False
75,False
76,False
72,False
73,False
72,False
73,False
84,False
91,False
77,False
78,False
81,False
80,False
79,False
82,False
79,False
75,False
80,False
78,False
82,False
80,False
78,False
79,False
79,False
76,False
83,False
83,False
78,False
78,False
77,False
99,False
89,False
83,False
78,False
76,False
76,False
78,False
79,False
81,False
100,False
84,False
77,False
78,False
79,False
75,False
73,False
73,False
70,False
71,False
71,False
71,False
73,False
71,False
71,False
75,False
72,False
76,False
78,False
76,False
76,False
74,False
74,False
75,False
74,False
74,False
74,False
74,False
75,False
76,False
76,False
74,False
78,False
74,False
75,False
73,False
72,False
71,False
67,False
72,False
73,False
70,False
72,False
74,False
73,False
72,False
72,False
74,False
72,False
77,False
74,False
77,False
77,False
78,False
79,False
77,False
77,False
77,False
75,False
80,False
81,False
76,False
72,False
74,False
74,False
73,False
78,False
74,False
92,False
77,True
